#Insert size (bp)	insert size
56.0	1.0
66.0	1.0
67.0	1.0
72.0	2.0
73.0	1.0
74.0	1.0
75.0	1.0
76.0	1.0
77.0	2.0
78.0	2.0
80.0	2.0
81.0	3.0
82.0	4.0
83.0	1.0
85.0	3.0
87.0	1.0
88.0	1.0
89.0	1.0
90.0	1.0
91.0	4.0
92.0	3.0
93.0	4.0
94.0	2.0
95.0	6.0
96.0	5.0
97.0	3.0
98.0	4.0
100.0	3.0
101.0	3.0
102.0	2.0
103.0	3.0
104.0	3.0
105.0	2.0
106.0	3.0
107.0	3.0
108.0	3.0
109.0	5.0
110.0	4.0
111.0	1.0
112.0	1.0
114.0	3.0
115.0	2.0
117.0	4.0
118.0	1.0
119.0	3.0
120.0	4.0
121.0	5.0
122.0	3.0
123.0	5.0
124.0	3.0
125.0	2.0
126.0	3.0
128.0	1.0
129.0	2.0
130.0	2.0
131.0	1.0
132.0	4.0
133.0	2.0
134.0	2.0
135.0	6.0
137.0	4.0
138.0	2.0
139.0	1.0
140.0	3.0
141.0	3.0
142.0	1.0
143.0	2.0
144.0	2.0
145.0	3.0
146.0	4.0
147.0	2.0
148.0	6.0
149.0	3.0
150.0	2.0
151.0	2.0
152.0	2.0
153.0	3.0
154.0	1.0
155.0	3.0
156.0	5.0
157.0	3.0
158.0	1.0
159.0	2.0
160.0	1.0
161.0	3.0
162.0	3.0
163.0	4.0
164.0	1.0
165.0	4.0
166.0	3.0
167.0	7.0
168.0	6.0
169.0	3.0
170.0	7.0
171.0	4.0
172.0	3.0
173.0	2.0
174.0	3.0
175.0	1.0
176.0	2.0
177.0	3.0
178.0	2.0
179.0	2.0
180.0	3.0
181.0	2.0
182.0	5.0
183.0	2.0
184.0	5.0
185.0	5.0
186.0	1.0
187.0	2.0
188.0	1.0
189.0	3.0
191.0	4.0
193.0	4.0
194.0	4.0
195.0	1.0
196.0	4.0
197.0	4.0
198.0	2.0
199.0	2.0
201.0	2.0
202.0	1.0
203.0	2.0
204.0	2.0
205.0	2.0
206.0	3.0
207.0	1.0
209.0	1.0
210.0	1.0
211.0	2.0
212.0	1.0
213.0	1.0
216.0	2.0
217.0	1.0
218.0	3.0
219.0	4.0
220.0	2.0
221.0	4.0
222.0	1.0
223.0	1.0
224.0	3.0
225.0	2.0
226.0	4.0
227.0	2.0
229.0	2.0
230.0	2.0
231.0	2.0
232.0	3.0
233.0	4.0
234.0	2.0
236.0	2.0
238.0	2.0
239.0	1.0
240.0	2.0
241.0	3.0
242.0	2.0
243.0	4.0
244.0	3.0
245.0	1.0
246.0	4.0
247.0	2.0
249.0	1.0
250.0	3.0
251.0	1.0
252.0	2.0
253.0	1.0
255.0	1.0
256.0	2.0
257.0	1.0
258.0	1.0
260.0	3.0
261.0	1.0
262.0	3.0
263.0	2.0
265.0	4.0
266.0	1.0
267.0	2.0
268.0	2.0
270.0	2.0
271.0	1.0
272.0	3.0
273.0	2.0
274.0	2.0
276.0	1.0
279.0	3.0
280.0	1.0
281.0	2.0
282.0	1.0
283.0	1.0
284.0	1.0
285.0	2.0
286.0	2.0
287.0	1.0
288.0	4.0
290.0	3.0
291.0	2.0
293.0	1.0
294.0	3.0
295.0	1.0
298.0	2.0
301.0	3.0
302.0	2.0
303.0	1.0
305.0	1.0
306.0	1.0
308.0	1.0
309.0	1.0
310.0	1.0
312.0	1.0
314.0	1.0
315.0	4.0
316.0	1.0
317.0	2.0
321.0	1.0
322.0	3.0
323.0	1.0
324.0	1.0
325.0	1.0
327.0	3.0
328.0	1.0
329.0	2.0
331.0	1.0
334.0	1.0
335.0	1.0
336.0	1.0
338.0	3.0
339.0	1.0
342.0	2.0
344.0	1.0
349.0	1.0
351.0	1.0
353.0	2.0
354.0	3.0
358.0	1.0
359.0	2.0
361.0	1.0
362.0	2.0
363.0	1.0
365.0	1.0
367.0	1.0
369.0	1.0
372.0	1.0
373.0	1.0
376.0	3.0
378.0	1.0
379.0	2.0
383.0	1.0
385.0	2.0
391.0	1.0
393.0	1.0
397.0	1.0
398.0	1.0
403.0	1.0
408.0	2.0
415.0	1.0
419.0	1.0
426.0	1.0
427.0	1.0
430.0	1.0
433.0	2.0
434.0	1.0
435.0	1.0
438.0	1.0
443.0	1.0
444.0	1.0
456.0	1.0
462.0	1.0
473.0	1.0
482.0	1.0
483.0	2.0
495.0	1.0
498.0	2.0
508.0	1.0
510.0	1.0
511.0	1.0
512.0	1.0
516.0	1.0
521.0	1.0
528.0	2.0
537.0	1.0
553.0	1.0
555.0	1.0
565.0	1.0
566.0	1.0
568.0	1.0
587.0	1.0
596.0	1.0
598.0	1.0
602.0	1.0
607.0	1.0
615.0	1.0
619.0	1.0
624.0	1.0
632.0	1.0
656.0	1.0
660.0	1.0
663.0	1.0
680.0	1.0
684.0	1.0
690.0	1.0
696.0	1.0
699.0	1.0
700.0	1.0
705.0	1.0
708.0	1.0
714.0	1.0
720.0	1.0
721.0	1.0
741.0	1.0
746.0	1.0
749.0	1.0
752.0	1.0
753.0	1.0
757.0	1.0
773.0	1.0
777.0	1.0
792.0	1.0
804.0	2.0
809.0	1.0
811.0	1.0
822.0	1.0
842.0	1.0
844.0	1.0
845.0	1.0
858.0	1.0
866.0	1.0
867.0	1.0
873.0	1.0
874.0	1.0
882.0	1.0
889.0	1.0
899.0	1.0
901.0	1.0
906.0	1.0
930.0	1.0
937.0	1.0
949.0	1.0
959.0	1.0
964.0	1.0
971.0	1.0
979.0	1.0
995.0	1.0
996.0	1.0
1014.0	1.0
1025.0	1.0
1037.0	1.0
1041.0	1.0
1043.0	1.0
1048.0	1.0
1052.0	1.0
1053.0	1.0
1065.0	1.0
1123.0	1.0
1130.0	1.0
1143.0	1.0
1145.0	1.0
1149.0	1.0
1152.0	1.0
1156.0	1.0
1160.0	1.0
1169.0	1.0
1172.0	1.0
1174.0	1.0
1177.0	1.0
1185.0	1.0
1187.0	1.0
1188.0	1.0
1204.0	1.0
1207.0	1.0
1216.0	1.0
1217.0	1.0
1231.0	1.0
1233.0	1.0
1287.0	1.0
1302.0	1.0
1336.0	1.0
1363.0	1.0
1410.0	1.0
1414.0	1.0
1450.0	1.0
1452.0	1.0
1456.0	1.0
1502.0	1.0
1511.0	1.0
1519.0	1.0
1537.0	1.0
1547.0	1.0
1571.0	1.0
1596.0	1.0
1625.0	1.0
1653.0	1.0
1706.0	1.0
1708.0	2.0
1715.0	1.0
1729.0	1.0
1752.0	1.0
1764.0	1.0
1769.0	1.0
1781.0	1.0
1789.0	1.0
1796.0	1.0
1797.0	1.0
1819.0	1.0
1827.0	1.0
1828.0	1.0
1843.0	1.0
1858.0	1.0
1865.0	1.0
1872.0	1.0
1883.0	1.0
1898.0	1.0
1925.0	1.0
1934.0	1.0
1939.0	1.0
1940.0	1.0
1949.0	1.0
1959.0	1.0
2000.0	1.0
2042.0	1.0
2062.0	1.0
2065.0	1.0
2114.0	1.0
2119.0	1.0
2133.0	1.0
2173.0	1.0
2192.0	1.0
2242.0	1.0
2279.0	1.0
2295.0	1.0
2315.0	1.0
2354.0	1.0
2370.0	1.0
2375.0	1.0
2415.0	1.0
2426.0	1.0
