# CRM chr1	248956422
# CRM chr2	242193529
# CRM chr3	198295559
# CRM chr4	190214555
# CRM chr5	181538259
# CRM chr6	170805979
# CRM chr7	159345973
# CRM chr8	145138636
# CRM chr9	138394717
# CRM chr10	133797422
# CRM chr11	135086622
# CRM chr12	133275309
# CRM chr13	114364328
# CRM chr14	107043718
# CRM chr15	101991189
# CRM chr16	90338345
# CRM chr17	83257441
# CRM chr18	80373285
# CRM chr19	58617616
# CRM chr20	64444167
# CRM chr21	46709983
# CRM chr22	50818468
# CRM chrX	156040895
# CRM chrY	57227415
# CRM chrM	16569
# CRM mmtv_luciferase	3183
HWI-D00733:32:C6T3KANXX:4:1101:2737:2137	chr1	1996697	1	75	1996697	1996872	chr1	1999686	1	75	1999339	1999942
HWI-D00733:32:C6T3KANXX:4:1101:1425:2115#3/3	chr1	2887578	1	40	2887267	2887614	chr1	245951040	1	75	245951040	245951295
HWI-D00733:32:C6T3KANXX:4:1101:1425:2115#1/3	chr1	2887578	1	40	2887267	2887614	chr1	245951298	0	35	245951295	245951346
HWI-D00733:32:C6T3KANXX:4:1101:2087:2081	chr1	19519815	1	75	19519767	19519953	chr3	39955199	1	75	39954933	39955323
HWI-D00733:32:C6T3KANXX:4:1101:3644:2177	chr1	21637548	1	75	21637490	21637911	chr2	81669350	1	75	81669125	81669524
HWI-D00733:32:C6T3KANXX:4:1101:4382:2010	chr1	23051552	0	74	23051036	23052122	chr17	67585759	0	44	67585756	67585916
HWI-D00733:32:C6T3KANXX:4:1101:4603:2161	chr1	23351472	1	75	23351472	23351567	chr7	100699406	1	75	100698921	100699490
HWI-D00733:32:C6T3KANXX:4:1101:2641:2174	chr1	24599882	1	75	24599814	24600074	chr1	25563824	0	75	25563821	25564511
HWI-D00733:32:C6T3KANXX:4:1101:4868:2103	chr1	24777495	1	75	24777495	24777797	chr1	35163471	1	75	35163440	35163615
HWI-D00733:32:C6T3KANXX:4:1101:2877:2030	chr1	26024685	0	74	26024683	26024955	chr10	12452334	0	75	12452106	12453426
HWI-D00733:32:C6T3KANXX:4:1101:4625:2079	chr1	31192989	1	75	31192989	31193132	chr1	31231288	0	75	31231122	31231752
HWI-D00733:32:C6T3KANXX:4:1101:3619:2153	chr1	31513745	1	75	31513608	31514011	chr9	93385115	0	75	93384913	93386932
HWI-D00733:32:C6T3KANXX:4:1101:2208:2190	chr1	44229936	1	75	44229521	44230173	chr21	40918698	0	75	40918461	40918852
HWI-D00733:32:C6T3KANXX:4:1101:2021:2111	chr1	47736745	1	75	47736355	47736955	chr7	2632949	1	75	2632716	2633170
HWI-D00733:32:C6T3KANXX:4:1101:4519:2121	chr1	48694166	0	75	48693913	48694435	chr9	76424074	0	75	76423891	76424532
HWI-D00733:32:C6T3KANXX:4:1101:1870:2074	chr1	51380614	0	75	51380458	51380807	chr20	36501681	0	75	36501408	36501916
HWI-D00733:32:C6T3KANXX:4:1101:4410:2164	chr1	55552170	1	75	55552170	55552268	chr1	55814588	0	75	55814585	55814661
HWI-D00733:32:C6T3KANXX:4:1101:4768:2153~2~#2/3	chr1	55931511	0	33	55931508	55931632	chr1	55989709	0	42	55989668	55990015
HWI-D00733:32:C6T3KANXX:4:1101:4768:2153~2~#3/3	chr1	55931511	0	33	55931508	55931632	chr2	85000050	0	66	84999608	85000345
HWI-D00733:32:C6T3KANXX:4:1101:4768:2153#1/3	chr1	55989709	0	42	55989668	55990015	chr2	85000050	0	66	84999608	85000345
HWI-D00733:32:C6T3KANXX:4:1101:3760:2171	chr1	56055928	1	75	56055797	56056035	chr7	7091388	1	75	7091388	7091774
HWI-D00733:32:C6T3KANXX:4:1101:4501:2018#2/3	chr1	57878493	0	25	57878469	57879307	chr1	66126159	1	75	66126159	66126693
HWI-D00733:32:C6T3KANXX:4:1101:4501:2018#3/3	chr1	57878493	0	25	57878469	57879307	chr1	66126696	0	49	66126693	66126979
HWI-D00733:32:C6T3KANXX:4:1101:1163:2015	chr1	62895576	0	75	62895569	62896030	chr1	231587588	0	74	231587586	231587869
HWI-D00733:32:C6T3KANXX:4:1101:4200:2090#3/3	chr1	63344389	0	75	63344197	63344562	chr2	218869931	1	35	218869931	218869996
HWI-D00733:32:C6T3KANXX:4:1101:4200:2090#2/3	chr1	63344389	0	75	63344197	63344562	chrX	5660812	0	40	5660789	5660948
HWI-D00733:32:C6T3KANXX:4:1101:1217:2005	chr1	63933483	1	74	63933129	63933568	chr1	64142404	1	75	64142404	64142626
HWI-D00733:32:C6T3KANXX:4:1101:1395:2188	chr1	65107073	1	71	65106994	65107361	chr1	65222576	0	75	65222367	65223427
HWI-D00733:32:C6T3KANXX:4:1101:4501:2018#1/3	chr1	66126159	1	75	66126159	66126693	chr1	66126696	0	49	66126693	66126979
HWI-D00733:32:C6T3KANXX:4:1101:1697:2139	chr1	67895046	0	75	67894812	67895753	chr1	68417944	1	75	68417859	68418183
HWI-D00733:32:C6T3KANXX:4:1101:3351:2199	chr1	73687719	0	75	73687284	73688357	chr1	73743869	1	75	73743540	73744130
HWI-D00733:32:C6T3KANXX:4:1101:2028:2247~2~#2/3	chr1	74023784	1	53	74023784	74024047	chr18	42120559	0	75	42120455	42121232
HWI-D00733:32:C6T3KANXX:4:1101:2028:2247~2~#1/3	chr1	74023784	1	53	74023784	74024047	chr2	216401070	1	22	216400749	216401088
HWI-D00733:32:C6T3KANXX:4:1101:4274:2208	chr1	75044176	0	75	75044100	75045328	chr20	53779271	0	75	53779268	53779383
HWI-D00733:32:C6T3KANXX:4:1101:2735:2167#1/3	chr1	77199181	0	49	77199133	77199289	chr1	87169305	0	26	87169302	87170034
HWI-D00733:32:C6T3KANXX:4:1101:2735:2167#3/3	chr1	77199181	0	49	77199133	77199289	chr17	76449034	0	75	76448893	76449526
HWI-D00733:32:C6T3KANXX:4:1101:1740:2160	chr1	77923917	0	75	77923914	77924138	chr5	6699774	0	75	6699663	6700105
HWI-D00733:32:C6T3KANXX:4:1101:2735:2167~2~#2/3	chr1	87169305	0	26	87169302	87170034	chr17	76449034	0	75	76448893	76449526
HWI-D00733:32:C6T3KANXX:4:1101:4908:2009	chr1	87216481	1	74	87216156	87216832	chr1	99421497	0	75	99421494	99421964
HWI-D00733:32:C6T3KANXX:4:1101:2549:2020	chr1	101901882	1	74	101900487	101902260	chr10	121057445	1	58	121057445	121057499
HWI-D00733:32:C6T3KANXX:4:1101:1404:2246	chr1	102027887	1	75	102027887	102027971	chr12	104010887	0	75	104010649	104011395
HWI-D00733:32:C6T3KANXX:4:1101:2266:2104#1/3	chr1	106516606	0	44	106516563	106516836	chr14	41136793	1	61	41136793	41137358
HWI-D00733:32:C6T3KANXX:4:1101:2266:2104#2/3	chr1	106516606	0	44	106516563	106516836	chr20	56935787	0	31	56935784	56936081
HWI-D00733:32:C6T3KANXX:4:1101:1614:2021	chr1	107835781	1	75	107835781	107836116	chr2	55811172	0	74	55810926	55811554
HWI-D00733:32:C6T3KANXX:4:1101:5015:2059	chr1	110854263	0	74	110854261	110854308	chr15	81619156	1	58	81619148	81619229
HWI-D00733:32:C6T3KANXX:4:1101:3381:2245	chr1	112338757	1	75	112338757	112338975	chr7	142756388	1	75	142755608	142756559
HWI-D00733:32:C6T3KANXX:4:1101:3615:2018	chr1	112680722	1	74	112680687	112680766	chr12	7876232	1	72	7876232	7876420
HWI-D00733:32:C6T3KANXX:4:1101:1204:2176	chr1	114620630	0	75	114620627	114620748	chr15	54881856	1	75	54881279	54881923
HWI-D00733:32:C6T3KANXX:4:1101:4795:2241	chr1	115238767	1	75	115238039	115239079	chr1	175940073	1	67	175940073	175940136
HWI-D00733:32:C6T3KANXX:4:1101:1641:2231	chr1	115473421	0	48	115473374	115473745	chr1	220772465	1	75	220771250	220772595
HWI-D00733:32:C6T3KANXX:4:1101:2768:2164	chr1	145862441	0	75	145862294	145862451	chr4	185057304	1	75	185056023	185057521
HWI-D00733:32:C6T3KANXX:4:1101:4281:2036	chr1	147186699	1	74	147186698	147187022	chr1	150566291	0	75	150566288	150566757
HWI-D00733:32:C6T3KANXX:4:1101:3257:2076	chr1	148249404	0	28	148249377	148249828	chr1	183737529	0	75	183737526	183737811
HWI-D00733:32:C6T3KANXX:4:1101:5234:2094	chr1	150610870	0	75	150610742	150610878	chr1	229762744	1	75	229762507	229762896
HWI-D00733:32:C6T3KANXX:4:1101:4863:2200	chr1	156093216	1	75	156093127	156093370	chr6	124986718	0	74	124986457	124986969
HWI-D00733:32:C6T3KANXX:4:1101:4136:2103	chr1	156258750	0	75	156258747	156259519	chr1	156260487	1	75	156260477	156260597
HWI-D00733:32:C6T3KANXX:4:1101:4244:2111	chr1	156325329	0	75	156325326	156325439	chr1	156325893	0	75	156325890	156326109
HWI-D00733:32:C6T3KANXX:4:1101:4885:2005	chr1	157536859	0	74	157536507	157537329	chr1	166708333	0	75	166708330	166708411
HWI-D00733:32:C6T3KANXX:4:1101:1841:2198#3/3	chr1	158360722	1	45	158360042	158360763	chr7	100767704	0	75	100767701	100767717
HWI-D00733:32:C6T3KANXX:4:1101:1841:2198#2/3	chr1	158360722	1	45	158360042	158360763	chrX	30062169	1	30	30062169	30063492
