#Transcript position	Transcript coverage profile
0.0	0.10432341980973729
1.0	0.06626421348130195
2.0	0.06529185200017715
3.0	0.087321182077539
4.0	0.09806072166936708
5.0	0.07297709169631282
6.0	0.09787633887580102
7.0	0.08769275936336894
8.0	0.07136711096066879
9.0	0.09994868299842655
10.0	0.10357025252168323
11.0	0.08911606557196619
12.0	0.07583577477736352
13.0	0.0694871336149878
14.0	0.0989641870207259
15.0	0.07065136073766168
16.0	0.03907779707320809
17.0	0.03848233504959147
18.0	0.06253378809049243
19.0	0.040963165227858256
20.0	0.06182588062528857
21.0	0.05201948807473124
22.0	0.08642604967635649
23.0	0.09392164026694486
24.0	0.09006007567017876
25.0	0.08320403442288496
26.0	0.07064705937094629
27.0	0.07200319505165494
28.0	0.05348724917856476
29.0	0.03518910351933014
30.0	0.05441201607896236
31.0	0.06700226458141377
32.0	0.0832701074739433
33.0	0.07597172244308895
34.0	0.047156042992998005
35.0	0.07198910184085235
36.0	0.07133417451844999
37.0	0.11140204995470422
38.0	0.07561483231239384
39.0	0.07176386124988343
40.0	0.053103426881531884
41.0	0.030365031775580732
42.0	0.09493562235852936
43.0	0.11971068043616352
44.0	0.08388056555934433
45.0	0.07620086470737514
46.0	0.08620933031875397
47.0	0.1018037990748047
48.0	0.07263977829475263
49.0	0.08351316568768248
50.0	0.08282857895407311
51.0	0.09210943002283402
52.0	0.05848115250847833
53.0	0.05204294862981061
54.0	0.02820785718651502
55.0	0.04205603720257971
56.0	0.05149648595593752
57.0	0.0489693998360625
58.0	0.02864113907854846
59.0	0.0166822241334897
60.0	0.03693730814407739
61.0	0.0350960595043599
62.0	0.04386472798796949
63.0	0.06814794581442318
64.0	0.061205536712382116
65.0	0.05730635149613084
66.0	0.04462795425018891
67.0	0.08414441525753394
68.0	0.06250016950741465
69.0	0.04930385747786135
70.0	0.11160732286417012
71.0	0.05692283782891511
72.0	0.08516641368659641
73.0	0.13745386630855502
74.0	0.09246155150995562
75.0	0.06408915638732028
76.0	0.044668133368563054
77.0	0.015111538598690888
78.0	0.024523550463114795
79.0	0.05339049659840395
80.0	0.048005734045570965
81.0	0.032346101137564476
82.0	0.04470511387902414
83.0	0.03629639471769664
84.0	0.028039428913856385
85.0	0.03423109633351363
86.0	0.052211365483518346
87.0	0.06848269675193389
88.0	0.061072292683202314
89.0	0.07486504782741084
90.0	0.03924020794146276
91.0	0.045607527458933886
92.0	0.061816086807644575
93.0	0.05979866534096461
94.0	0.042165439751167835
95.0	0.04401981350510028
96.0	0.08103253726269229
97.0	0.09364817381843485
98.0	0.10351448452111435
99.0	0.037496848883003774
