	chr13	19098450	0	1.0	46
	chr13	20171223	0	1.0	46
	chr13	25809603	0	1.0	46
	chr13	27865269	0	1.0	39
	chr13	36213624	1	1.0	46
	chr13	40419496	0	1.0	46
	chr13	48242982	1	1.0	39
	chr13	54518814	1	1.0	46
	chr13	60127693	0	1.0	39
	chr13	68908689	0	1.0	46
	chr13	74000181	0	1.0	46
	chr13	75836700	0	1.0	46
	chr13	79231931	0	1.0	46
	chr13	89947983	0	1.0	46
	chr13	90824371	1	1.0	46
	chr13	93552820	1	1.0	46
	chr13	93935519	1	1.0	46
	chr13	94433322	1	1.0	46
	chr13	98128230	1	1.0	46
	chr13	101533505	0	1.0	46
	chr13	102299669	1	1.0	44
	chr13	102457086	1	1.0	46
	chr13	105859923	1	1.0	46
	chr13	107445536	1	1.0	46
	chr13	110188293	1	1.0	46
	chr13	110665855	0	1.0	46
