	chr11	1105937	0	1.0	44
	chr11	1796695	0	1.0	46
	chr11	8000171	1	1.0	46
	chr11	8369046	1	1.0	46
	chr11	11369450	0	1.0	46
	chr11	19387250	0	1.0	46
	chr11	20115763	0	1.0	46
	chr11	22397074	1	1.0	46
	chr11	22671088	1	1.0	46
	chr11	36318226	1	1.0	46
	chr11	36488839	0	1.0	46
	chr11	36977770	1	1.0	46
	chr11	46929240	0	1.0	46
	chr11	61380014	1	1.0	46
	chr11	63698795	1	1.0	46
	chr11	64759681	1	1.0	46
	chr11	65624531	1	1.0	46
	chr11	67387514	1	1.0	46
	chr11	68209619	1	1.0	46
	chr11	72163514	0	1.0	46
	chr11	79823967	0	1.0	40
	chr11	80430783	0	1.0	46
	chr11	88393062	1	1.0	45
	chr11	92844030	1	1.0	46
	chr11	93938004	1	1.0	46
	chr11	95544398	0	1.0	40
	chr11	97795823	0	1.0	46
	chr11	100874018	1	1.0	46
	chr11	103223114	1	1.0	46
	chr11	103343586	1	1.0	46
	chr11	107793509	0	1.0	46
	chr11	120019962	0	1.0	46
	chr11	120705375	0	1.0	46
	chr11	121776277	1	1.0	46
	chr11	125642153	1	1.0	46
	chr11	126156988	1	1.0	46
	chr11	129005461	1	1.0	39
	chr11	129021335	0	1.0	46
	chr11	129236346	1	1.0	46
	chr11	131294773	1	1.0	46
	chr11	132933051	0	1.0	46
