#Transcript position	Transcript coverage profile
0.0	0.8750872794112268
1.0	0.8933757423895056
2.0	0.9630963072395275
3.0	0.9461151681622862
4.0	0.8987912383665588
5.0	0.83038687830328
6.0	0.8456462541564115
7.0	0.9726735643737652
8.0	0.9389274547245521
9.0	1.013424291742492
10.0	1.0887322253534994
11.0	1.1454309005418182
12.0	1.1410656209110643
13.0	1.2738780840384514
14.0	1.342350396878553
15.0	1.2348821508222172
16.0	1.2957057789101394
17.0	1.267804926965444
18.0	1.1419898416685461
19.0	1.1076687436469839
20.0	1.1505670079148325
21.0	1.2306741714119098
22.0	1.2502929600264487
23.0	1.2602320689092754
24.0	1.3139330978731905
25.0	1.2066723822725833
26.0	1.4073525774261941
27.0	1.3204293137102956
28.0	1.2875425365881312
29.0	1.3103463163129507
30.0	1.384276910078869
31.0	1.3447359987108038
32.0	1.362176590770607
33.0	1.3374123886125404
34.0	1.312129575687197
35.0	1.4178439548547073
36.0	1.4684273705500381
37.0	1.5220436369355388
38.0	1.5615917921529963
39.0	1.5073138076170534
40.0	1.5358652694353385
41.0	1.6746288668909908
42.0	1.5660931078709732
43.0	1.5634476640890347
44.0	1.59673198299151
45.0	1.5143699077435349
46.0	1.526664351796544
47.0	1.5391320850441326
48.0	1.5335664641195466
49.0	1.4219403890119846
50.0	1.3553991870715245
51.0	1.3128005284165534
52.0	1.1708943674170442
53.0	1.1323573980042192
54.0	1.2992909557802403
55.0	1.323054268402184
56.0	1.230152332782386
57.0	1.3231523624095194
58.0	1.3797266146768772
59.0	1.4465310649227563
60.0	1.387540877315386
61.0	1.4806883129569675
62.0	1.4767769961702732
63.0	1.4738193095970185
64.0	1.437603144382909
65.0	1.4012212973117923
66.0	1.3923530682973237
67.0	1.3022722391730295
68.0	1.2962614340196408
69.0	1.2713184811050589
70.0	1.2021400034599028
71.0	1.1735967218693264
72.0	1.174068071081915
73.0	1.2748446212026798
74.0	1.358151653631285
75.0	1.3142116471234244
76.0	1.3654138960776607
77.0	1.3539808157977358
78.0	1.3424849362482734
79.0	1.36387313968032
80.0	1.3136647312350231
81.0	1.3431432135889962
82.0	1.4550876985781744
83.0	1.4540673314736967
84.0	1.4115975650940245
85.0	1.286880162830545
86.0	1.3428109248411744
87.0	1.2333268563073783
88.0	1.2452578581576974
89.0	1.1496652320173724
90.0	1.1693105522528364
91.0	0.9536905305633194
92.0	0.9101931492059236
93.0	0.7524121573114491
94.0	0.6593550474478885
95.0	0.5700351990347923
96.0	0.47666461002591826
97.0	0.3958557633458126
98.0	0.2970048358595033
99.0	0.07295402834258796
